Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount Percent
Blaupunkt,24 inch,HD Ready,LED,Linux,4.2,1660,190,6499.0,10999.0,40.0
Acer,43 inch,Full HD,LED,Google TV,4.2,27029,2917,19999.0,43999.0,54.0
LG,50 inch,Ultra HD (4K),LED,WebOS,4.4,34621,3285,37990.0,69990.0,45.0
Mi,55 inch,Ultra HD (4K),LED,Google TV,4.3,123713,11311,37990.0,54999.0,30.0
Blaupunkt,55 inch,Ultra HD (4K),QLED,Google TV,4.5,8589,2115,31999.0,59999.0,46.0
SENS,40 inch,Full HD,LED,Google TV,4.2,4207,598,14899.0,34990.0,57.0
Haier,32 inch,HD Ready,LED,Google TV,4.3,1825,174,13490.0,19990.0,32.0
Thomson,40 inch,Full HD,LED,Android,4.3,121233,21447,15499.0,26999.0,42.0
KODAK,43 inch,Full HD,LED,Linux,4.2,6374,678,14999.0,22999.0,34.0
InnoQ,32 inch,HD Ready,LED,Android,3.9,4206,483,7990.0,29990.0,73.0
TOSHIBA,43 inch,Full HD,LED,Android,4.2,6743,920,20999.0,34990.0,39.0
TCL,50 inch,Ultra HD (4K),LED,Google TV,4.1,24978,2097,28490.0,64990.0,56.0
iFFALCON,65 inch,Ultra HD (4K),LED,Google TV,4.2,68411,7625,35999.0,120990.0,70.0
Thomson,42 inch,Full HD,LED,Android,4.3,121233,21447,15999.0,28499.0,43.0
InnoQ,32 inch,HD Ready,LED,Unknown,3.9,4206,483,6990.0,24990.0,72.0
REDMI,43 inch,Ultra HD (4K),LED,FireTv OS 7,4.2,9933,627,25999.0,42999.0,39.0
SAMSUNG,50 inch,Ultra HD (4K),LED,Tizen,4.3,38242,3024,44990.0,63900.0,29.0
MarQ,32 inch,HD Ready,LED,Coolita,4.2,6529,638,8399.0,21000.0,60.0
Hisense,43 inch,Ultra HD (4K),QLED,Google TV,4.3,2135,407,27999.0,49999.0,44.0
TOSHIBA,50 inch,Ultra HD (4K),LED,Google TV,4.3,5341,878,30999.0,54999.0,43.0
MOTOROLA,65 inch,Ultra HD (4K),LED,Google TV,4.3,5921,564,41999.0,63999.0,34.0
Thomson,55 inch,Ultra HD (4K),QLED,Google TV,4.4,23903,4283,31999.0,59999.0,46.0
SAMSUNG,55 inch,Ultra HD (4K),LED,Tizen,4.3,15222,1096,44990.0,64900.0,30.0
Thomson,43 inch,Full HD,LED,Android,4.3,121233,21447,16999.0,29999.0,43.0
TCL,65 inch,Ultra HD (4K),QLED,Google TV,4.1,3014,271,53990.0,128990.0,58.0
Blaupunkt,43 inch,Full HD,LED,Android,4.4,15767,3375,17499.0,29999.0,41.0
acerpure,32 inch,HD Ready,QLED,Google TV,4.3,860,161,12999.0,27990.0,53.0
iFFALCON,40 inch,Full HD,LED,Android,4.2,68411,7625,14999.0,38990.0,61.0
TCL,65 inch,Ultra HD (4K),LED,Google TV,4.1,24978,2097,46990.0,124990.0,62.0
Acer,55 inch,Ultra HD (4K),LED,Google TV,4.2,27029,2917,29999.0,59999.0,50.0
MarQ,24 inch,HD Ready,LED,Unknown,4.1,6146,504,5999.0,15000.0,60.0
Mi,43 inch,Ultra HD (4K),QLED,Google TV,4.1,485,36,34990.0,50999.0,31.0
ONIDA,32 inch,HD Ready,LED,Android,4.2,649,72,13199.0,19990.0,33.0
SAMSUNG,43 inch,Ultra HD (4K),LED,Tizen,4.3,38242,3024,32990.0,54900.0,39.0
Vu,43 inch,Ultra HD (4K),LED,Google TV,4.4,16847,2883,25999.0,40000.0,35.0
KODAK,32 inch,HD Ready,LED,Android,4.4,39316,7634,10499.0,17999.0,41.0
Haier,55 inch,Ultra HD (4K),LED,Google TV,4.3,520,56,39891.0,60990.0,34.0
LG,55 inch,Ultra HD (4K),LED,WebOS,4.4,34621,3285,43990.0,71990.0,38.0
Daiwa,32 inch,HD Ready,QLED,Google TV,4.1,905,209,9999.0,25990.0,61.0
TCL,55 inch,Ultra HD (4K),QLED,Google TV,4.2,741,71,41990.0,121990.0,65.0
Daiwa,43 inch,Full HD,LED,Linux,4.2,2555,257,13999.0,27990.0,49.0
Vu,50 inch,Ultra HD (4K),LED,Google TV,4.4,16847,2883,29499.0,55000.0,46.0
Sansui,43 inch,Ultra HD (4K),LED,Android,4.2,2482,228,20999.0,35390.0,40.0
MOTOROLA,50 inch,Ultra HD (4K),QLED,Google TV,4.3,10401,1049,29999.0,53999.0,44.0
KODAK,42 inch,Full HD,LED,Android,4.4,39316,7634,15499.0,28499.0,45.0
TCL,75 inch,Ultra HD (4K),QLED,Google TV,4.1,3014,271,69990.0,258990.0,72.0
