Brand,Screen-Size,Resolution,Display-Type,Operating-System,Rating,Number of Ratings,Reviews,Price,Original Price,Discount
SENS,40 inch,Full HD,LED,Google TV,4.2,"4,207",598,"₹14,899","₹34,990",57% off
Haier,32 inch,HD Ready,LED,Google TV,4.3,"1,825",174,"₹13,490","₹19,990",32% off
Thomson,40 inch,Full HD,LED,Android,4.3,"1,21,233","21,447","₹15,499","₹26,999",42% off
KODAK,43 inch,Full HD,LED,Linux,4.2,"6,374",678,"₹14,999","₹22,999",34% off
InnoQ,32 inch,HD Ready,LED,Android,3.9,"4,206",483,"₹7,990","₹29,990",73% off
TOSHIBA,43 inch,Full HD,LED,Android,4.2,"6,743",920,"₹20,999","₹34,990",39% off
TCL,50 inch,Ultra HD (4K),LED,Google TV,4.1,"24,978","2,097","₹28,490","₹64,990",56% off
TOSHIBA,43 inch,Ultra HD (4K),LED,Google TV,4.3,"5,341",878,"₹24,999","₹44,999",44% off
iFFALCON,65 inch,Ultra HD (4K),LED,Google TV,4.2,"68,411","7,625","₹35,999","₹1,20,990",70% off
Thomson,43 inch,Full HD,LED,Linux,4.4,"42,232","5,726","₹15,499","₹22,999",32% off
Thomson,42 inch,Full HD,LED,Android,4.3,"1,21,233","21,447","₹15,999","₹28,499",43% off
Infinix,32 inch,HD Ready,QLED,WebOS,4.1,"2,484",305,"₹10,999","₹18,999",42% off
InnoQ,32 inch,HD Ready,LED,,3.9,"4,206",483,"₹6,990","₹24,990",72% off
REDMI,43 inch,Ultra HD (4K),LED,FireTv OS 7,4.2,"9,933",627,"₹25,999","₹42,999",39% off
Acer,55 inch,Ultra HD (4K),LED,Google TV,4.2,"27,029","2,917","₹32,999","₹72,999",54% off
KODAK,43 inch,Ultra HD (4K),QLED,Google TV,4.5,"4,415",901,"₹21,999","₹31,999",31% off
SAMSUNG,50 inch,Ultra HD (4K),LED,Tizen,4.3,"38,242","3,024","₹44,990","₹63,900",29% off
Infinix,32 inch,HD Ready,LED,Linux,3.7,"1,094",94,"₹8,499","₹16,999",50% off
MarQ,32 inch,HD Ready,LED,Coolita,4.2,"6,529",638,"₹8,399","₹21,000",60% off
Hisense,43 inch,Ultra HD (4K),QLED,Google TV,4.3,"2,135",407,"₹27,999","₹49,999",44% off
TOSHIBA,50 inch,Ultra HD (4K),LED,Google TV,4.3,"5,341",878,"₹30,999","₹54,999",43% off
